T_max,disp_max,sigma_vm_max,J_in,h_conv,mat_left,mat_right
300.40321585960584,8.346587094576728e-08,182477.2377914677,1000000.0,500,Ni,Ni
300.70971575301735,2.543536711166156e-07,164158.03411640535,2000000.0,5,Al,Al
300.38279482704934,1.7137200271087887e-07,108415.76264855349,2000000.0,5,Al,Cu
302.3136766212673,1.2471283322654254e-06,1975146.3454763202,2000000.0,5,Al,Fe
301.7308798130728,8.837579286027145e-07,1397329.0521523778,2000000.0,5,Al,Ni
300.3827966568734,1.713484226630554e-07,90798.73201930811,2000000.0,5,Cu,Al
300.21429168995564,5.479645081990759e-08,56829.60085622524,2000000.0,5,Cu,Cu
301.26191519038116,3.619113753007903e-07,488134.1940027659,2000000.0,5,Cu,Fe
300.92850016357454,2.5031467688871633e-07,333190.74780446076,2000000.0,5,Cu,Ni
302.31366442677427,1.2469253043719243e-06,1606595.6080527743,2000000.0,5,Fe,Al
301.26190158435924,3.6185295157555824e-07,393893.9329844915,2000000.0,5,Fe,Cu
306.15095559612524,1.0780724700996934e-06,1876760.4440971746,2000000.0,5,Fe,Fe
304.9779666740585,9.565643030194255e-07,1679141.5343047292,2000000.0,5,Fe,Ni
301.7308720455638,8.836158633210515e-07,1135100.960583075,2000000.0,5,Ni,Al
300.92849092044634,2.5027703741765716e-07,297436.398300229,2000000.0,5,Ni,Cu
304.97797624327876,9.56663676566565e-07,1576228.2890627962,2000000.0,5,Ni,Fe
303.9122583710117,7.484691155161765e-07,1373041.5416077077,2000000.0,5,Ni,Ni
300.7052016667674,2.528602183446827e-07,163356.7299324403,2000000.0,10,Al,Al
300.3811351703029,1.7071990019602486e-07,107948.51961420213,2000000.0,10,Al,Cu
302.29228933815114,1.2368230997349783e-06,1957140.0303741365,2000000.0,10,Al,Fe
301.7154570718174,8.767308139327241e-07,1385034.7470889203,2000000.0,10,Al,Ni
300.3811367556917,1.706964153919863e-07,90507.37628755657,2000000.0,10,Cu,Al
300.21360779026713,5.463498522125781e-08,56690.3044922677,2000000.0,10,Cu,Cu
301.2548685841567,3.600801977803161e-07,485455.53048614145,2000000.0,10,Cu,Fe
300.92344777546106,2.4908316135925757e-07,331930.29484747164,2000000.0,10,Cu,Ni
302.29227770694064,1.2366217851145816e-06,1591947.9658680488,2000000.0,10,Fe,Al
301.2548562636756,3.60022059450281e-07,391728.64928903646,2000000.0,10,Fe,Cu
306.05492231028387,1.062534557595761e-06,1854312.3713332496,2000000.0,10,Fe,Fe
304.90411017437,9.435640602106007e-07,1660119.057000589,2000000.0,10,Fe,Ni
301.71544966158797,8.765899064072886e-07,1125112.33802304,2000000.0,10,Ni,Al
300.92343996206785,2.490457007608177e-07,296307.9943439173,2000000.0,10,Ni,Cu
304.9041179017339,9.436620212911152e-07,1558524.9649332135,2000000.0,10,Ni,Fe
303.8577860514565,7.388479781668276e-07,1358387.948704281,2000000.0,10,Ni,Ni
300.6876927446303,2.4706323525149014e-07,160244.87757898888,2000000.0,30,Al,Al
300.37463788360174,1.6816351073685963e-07,106117.23464710616,2000000.0,30,Al,Cu
302.21051250641625,1.1973228589962142e-06,1888153.4754955359,2000000.0,30,Al,Fe
301.656382738049,8.497560267965039e-07,1337861.6176295213,2000000.0,30,Al,Ni
300.37463905597525,1.6814039927186291e-07,89364.85275059176,2000000.0,30,Cu,Al
300.21091430164313,5.3998831756438884e-08,56141.36230971368,2000000.0,30,Cu,Cu
301.2274710440331,3.5294016419101964e-07,475013.59647234547,2000000.0,30,Cu,Fe
300.9037833267295,2.4427849531751534e-07,327009.90425344574,2000000.0,30,Cu,Ni
302.2105049453399,1.1971281098320239e-06,1535829.2203271207,2000000.0,30,Fe,Al
301.2274630373044,3.528831388423723e-07,383288.0138026312,2000000.0,30,Fe,Cu
305.6982607210515,1.0047487009134187e-06,1770725.142547182,2000000.0,30,Fe,Fe
304.6292339820684,8.95017246735481e-07,1589003.722303161,2000000.0,30,Fe,Ni
301.65637759708727,8.496195621224857e-07,1086786.0337620308,2000000.0,30,Ni,Al
300.9037776833796,2.442417326890335e-07,291903.08015695185,2000000.0,30,Ni,Cu
304.6292385254596,8.951099360020023e-07,1492340.1957396693,2000000.0,30,Ni,Fe
303.6538652455449,7.027891866593667e-07,1303408.420698184,2000000.0,30,Ni,Ni
300.6710088724516,2.4153441537842054e-07,157274.62835684448,2000000.0,50,Al,Al
300.3683562767039,1.6568739931107585e-07,104344.10582537866,2000000.0,50,Al,Cu
302.1343222364575,1.160374607682e-06,1823673.2192766755,2000000.0,50,Al,Fe
301.60120026481655,8.244669675060759e-07,1293668.2130379612,2000000.0,50,Al,Ni
300.3683572441614,1.6566464922856487e-07,88257.66977564196,2000000.0,50,Cu,Al
300.20828599758636,5.3377795738453025e-08,55605.25601323741,2000000.0,50,Cu,Cu
301.2012760513143,3.460824375397186e-07,464988.53186439036,2000000.0,50,Cu,Fe
300.8849538344452,2.396595942313841e-07,322275.34003282443,2000000.0,50,Cu,Ni
302.13431607321724,1.1601859975976375e-06,1483376.1072015853,2000000.0,50,Fe,Al
301.20126944418,3.460264815667839e-07,375184.4247674858,2000000.0,50,Fe,Cu
305.3802868061965,9.531098435549343e-07,1695876.8541627238,2000000.0,50,Fe,Fe
304.38318645850813,8.513679176680047e-07,1524943.2681356776,2000000.0,50,Fe,Ni
301.6011962045076,8.243346665048055e-07,1050880.552478198,2000000.0,50,Ni,Al
300.8849492985215,2.3962350287213844e-07,287664.5260692704,2000000.0,50,Ni,Cu
304.3831897739317,8.51455870979098e-07,1432719.5604609563,2000000.0,50,Ni,Fe
303.4698977443132,6.701913626381865e-07,1253616.1164773556,2000000.0,50,Ni,Ni
300.63255294996236,2.2876985745073399e-07,150407.52569230786,2000000.0,100,Al,Al
300.3535286182154,1.5982434377469455e-07,100148.31405119307,2000000.0,100,Al,Cu
301.9648312862445,1.0776603223430671e-06,1679520.0299071781,2000000.0,100,Al,Fe
301.4779521437776,7.676532328812839e-07,1194510.9578607974,2000000.0,100,Al,Ni
300.35352930389405,1.5980244878847282e-07,85633.78396053406,2000000.0,100,Cu,Al
300.20198528411754,5.188790168847089e-08,54318.2294414124,2000000.0,100,Cu,Cu
301.14052285472343,3.30068277054674e-07,441594.504507916,2000000.0,100,Cu,Fe
300.84118355437636,2.2885747339131053e-07,311184.4981871948,2000000.0,100,Cu,Ni
301.96482715160903,1.0774854463281744e-06,1366110.5212879106,2000000.0,100,Fe,Al
301.1405182404468,3.3001481941564154e-07,356274.5688565346,2000000.0,100,Fe,Cu
304.7186752350524,8.452110196942077e-07,1538909.8611009335,2000000.0,100,Fe,Fe
303.8675347389423,7.593407506134063e-07,1389431.9132546114,2000000.0,100,Fe,Ni
301.4779494267422,7.675302792868768e-07,970318.6653013086,2000000.0,100,Ni,Al
300.8411804742119,2.2882295262971865e-07,277735.6069642414,2000000.0,100,Ni,Cu
303.86753667269426,7.594187340233861e-07,1306593.878483,2000000.0,100,Ni,Fe
303.08037556415985,6.009118697596916e-07,1147452.0254969867,2000000.0,100,Ni,Ni
300.51389075099314,1.8915235602869294e-07,128985.45623594242,2000000.0,300,Al,Al
300.30441249722145,1.4021507082892135e-07,86810.93938321296,2000000.0,300,Al,Cu
301.49013487750847,8.417554075342227e-07,1270422.1975638142,2000000.0,300,Al,Fe
301.12907156043576,6.040911794437122e-07,910373.1561309564,2000000.0,300,Al,Ni
300.30441284032554,1.4019602654459952e-07,76830.92334386108,2000000.0,300,Cu,Al
300.18010309554217,4.669861740204543e-08,49824.42364964106,2000000.0,300,Cu,Cu
300.9492168284091,2.786953900405751e-07,366738.08618432365,2000000.0,300,Cu,Fe
300.702524512961,1.940523488658892e-07,275236.05101020756,2000000.0,300,Cu,Ni
301.4901334064325,8.416196117931636e-07,1033312.9874162505,2000000.0,300,Fe,Al
300.9492147241364,2.7864996283143403e-07,308327.4809823404,2000000.0,300,Fe,Cu
303.1515750251979,5.856522635203937e-07,1156204.9831494968,2000000.0,300,Fe,Fe
302.6221666608519,5.33297536658761e-07,1052477.4535863174,2000000.0,300,Fe,Ni
